[IMPORTS]

DLL: cygwin1.dll
 RVA: 00021260, Hint:   18(0012), Name: __assert_func
 RVA: 00021264, Hint:   23(0017), Name: __ctype_ptr__
 RVA: 00021268, Hint:   38(0026), Name: __errno
 RVA: 0002126C, Hint:   60(003C), Name: __getreent
 RVA: 00021270, Hint:   66(0042), Name: __locale_mb_cur_max
 RVA: 00021274, Hint:   67(0043), Name: __main
 RVA: 00021278, Hint:  110(006E), Name: _acl32
 RVA: 0002127C, Hint:  190(00BE), Name: _dll_crt0@0
 RVA: 00021280, Hint:  214(00D6), Name: _exit
 RVA: 00021284, Hint:  302(012E), Name: _fstat64
 RVA: 00021288, Hint:  337(0151), Name: _getgrgid32
 RVA: 0002128C, Hint:  339(0153), Name: _getgrnam32
 RVA: 00021290, Hint:  355(0163), Name: _getpwuid32
 RVA: 00021294, Hint:  375(0177), Name: _impure_ptr
 RVA: 00021298, Hint:  436(01B4), Name: _lstat64
 RVA: 0002129C, Hint:  572(023C), Name: _stat64
 RVA: 000212A0, Hint:  672(02A0), Name: abort
 RVA: 000212A4, Hint:  724(02D4), Name: atexit
 RVA: 000212A8, Hint:  737(02E1), Name: btowc
 RVA: 000212AC, Hint:  745(02E9), Name: calloc
 RVA: 000212B0, Hint:  784(0310), Name: clock_gettime
 RVA: 000212B4, Hint:  791(0317), Name: closedir
 RVA: 000212B8, Hint:  847(034F), Name: cygwin_detach_dll
 RVA: 000212BC, Hint:  849(0351), Name: cygwin_internal
 RVA: 000212C0, Hint:  863(035F), Name: dirfd
 RVA: 000212C4, Hint:  870(0366), Name: dll_dllcrt0
 RVA: 000212C8, Hint:  910(038E), Name: error
 RVA: 000212CC, Hint:  924(039C), Name: exit
 RVA: 000212D0, Hint:  942(03AE), Name: fclose
 RVA: 000212D4, Hint:  973(03CD), Name: fflush
 RVA: 000212D8, Hint: 1005(03ED), Name: fprintf
 RVA: 000212DC, Hint: 1008(03F0), Name: fputs
 RVA: 000212E0, Hint: 1012(03F4), Name: free
 RVA: 000212E4, Hint: 1052(041C), Name: fwrite
 RVA: 000212E8, Hint: 1077(0435), Name: getenv
 RVA: 000212EC, Hint: 1102(044E), Name: getopt_long
 RVA: 000212F0, Hint: 1120(0460), Name: getpwnam
 RVA: 000212F4, Hint: 1134(046E), Name: gettimeofday
 RVA: 000212F8, Hint: 1191(04A7), Name: ioctl
 RVA: 000212FC, Hint: 1198(04AE), Name: isatty
 RVA: 00021300, Hint: 1215(04BF), Name: iswcntrl
 RVA: 00021304, Hint: 1216(04C0), Name: iswctype
 RVA: 00021308, Hint: 1220(04C4), Name: iswprint
 RVA: 0002130C, Hint: 1261(04ED), Name: localeconv
 RVA: 00021310, Hint: 1262(04EE), Name: localtime
 RVA: 00021314, Hint: 1279(04FF), Name: longjmp
 RVA: 00021318, Hint: 1294(050E), Name: malloc
 RVA: 0002131C, Hint: 1302(0516), Name: mbrtowc
 RVA: 00021320, Hint: 1303(0517), Name: mbsinit
 RVA: 00021324, Hint: 1305(0519), Name: mbsrtowcs
 RVA: 00021328, Hint: 1306(051A), Name: mbstowcs
 RVA: 0002132C, Hint: 1310(051E), Name: memchr
 RVA: 00021330, Hint: 1311(051F), Name: memcmp
 RVA: 00021334, Hint: 1312(0520), Name: memcpy
 RVA: 00021338, Hint: 1314(0522), Name: memmove
 RVA: 0002133C, Hint: 1315(0523), Name: mempcpy
 RVA: 00021340, Hint: 1317(0525), Name: memset
 RVA: 00021344, Hint: 1330(0532), Name: mktime
 RVA: 00021348, Hint: 1364(0554), Name: nl_langinfo
